x,y,z
-6.825392,-6.662642,25.251975
-6.815812,-6.831452,24.978317
-6.830769,-7.032108,24.717220
-6.875960,-7.275589,24.468330
-6.973872,-7.612779,24.216307
-7.090248,-7.920014,24.061623
-7.211305,-8.192908,23.975516
-7.343195,-8.458526,23.934093
-7.482353,-8.714218,23.932033
-7.628049,-8.961547,23.965073
-7.778676,-9.199480,24.030227
-7.932934,-9.427060,24.125024
-8.089498,-9.643034,24.247205
-8.247133,-9.846131,24.394631
-8.404667,-10.035088,24.565223
-8.561001,-10.208699,24.756940
-8.715108,-10.365831,24.967774
-8.866027,-10.505431,25.195754
-9.012852,-10.626524,25.438945
-9.154727,-10.728202,25.695448
-9.290831,-10.809616,25.963404
-9.420368,-10.869961,26.240991
-9.542552,-10.908448,26.526427
-9.656595,-10.924287,26.817970
-9.761648,-10.916645,27.113828
-9.856810,-10.884630,27.412197
-9.941151,-10.827178,27.711489
-10.013611,-10.742883,28.010266
-10.072903,-10.629666,28.307393
-10.117313,-10.484020,28.602447
-10.144184,-10.298737,28.897093
-10.147692,-10.051696,29.202736
-10.109053,-9.693152,29.530493
-10.061119,-9.451566,29.694788
-9.993612,-9.193075,29.829917
-9.914612,-8.945285,29.924574
-9.823749,-8.700979,29.987070
-9.722777,-8.462352,30.019792
-9.612512,-8.229613,30.025017
-9.493893,-8.003679,30.004383
-9.367726,-7.785366,29.959222
-9.234793,-7.575540,29.890647
-9.095917,-7.375153,29.799665
-8.951883,-7.185083,29.687171
-8.803446,-7.006152,29.553946
-8.651379,-6.839190,29.400698
-8.496486,-6.685041,29.228075
-8.339621,-6.544576,29.036688
-8.181708,-6.418707,28.827136
-8.023763,-6.308400,28.600041
-7.866929,-6.214688,28.356095
-7.712508,-6.138681,28.096132
-7.561997,-6.081553,27.821230
-7.417119,-6.044522,27.532824
-7.279828,-6.028785,27.232841
-7.152272,-6.035428,26.923794
-7.036698,-6.065318,26.608787
-6.935301,-6.119023,26.291365
-6.850075,-6.196835,25.975238
-6.782725,-6.298900,25.663956
-6.734715,-6.425491,25.360666
-6.707441,-6.577375,25.068018
-6.702566,-6.756381,24.788160
-6.722657,-6.966545,24.522663
-6.772881,-7.217612,24.271756
-6.870472,-7.546471,24.027173
-7.009573,-7.908187,23.846794
-7.137299,-8.191220,23.761218
-7.280229,-8.475581,23.720081
-7.428804,-8.746011,23.720939
-7.584300,-9.008157,23.758716
-7.744531,-9.260024,23.830191
-7.908329,-9.500921,23.932770
-8.074281,-9.729474,24.064018
-8.241117,-9.944376,24.221659
-8.407624,-10.144305,24.403467
-8.572673,-10.328014,24.607269
-8.735213,-10.494338,24.830934
-8.894265,-10.642199,25.072380
-9.048915,-10.770608,25.329569
-9.198301,-10.878648,25.600517
-9.341601,-10.965465,25.883287
-9.478019,-11.030248,26.175987
-9.606772,-11.072212,26.476772
-9.727072,-11.090566,26.783844
-9.838100,-11.084479,27.095428
-9.938929,-11.053059,27.409590
-10.028637,-10.995267,27.724687
-10.106179,-10.909736,28.039219
-10.170294,-10.794487,28.351960
-10.219338,-10.646260,28.662304
-10.250843,-10.458661,28.971362
-10.259917,-10.214250,29.287206
-10.132691,-9.376268,29.952094
-10.079247,-9.185439,30.041485
-9.992683,-8.921075,30.135057
-9.895764,-8.665743,30.194048
-9.788071,-8.415213,30.222998
-9.671044,-8.171387,30.223769
-9.545433,-7.934774,30.198034
-9.412088,-7.706299,30.147128
-9.271777,-7.486809,30.072164
-9.125354,-7.277305,29.974177
-8.973575,-7.078623,29.854045
-8.817191,-6.891587,29.712540
-8.656971,-6.717028,29.550348
-8.493717,-6.555795,29.368088
-8.328280,-6.408770,29.166330
-8.161587,-6.276881,28.945619
-7.994663,-6.161121,28.706515
-7.828674,-6.062564,28.449646
-7.664969,-5.982373,28.175795
-7.505121,-5.921795,27.886019
-7.350979,-5.882123,27.581805
-7.204669,-5.864617,27.265247
