SunX,SunY,PlanetX,PlanetY,zComp
0.204108,-1.657398,211988884.559643,-1649448679.694640,0
0.210420,-1.708088,212187618.885008,-1649424331.087083,0
0.217020,-1.761064,212392190.737116,-1649399241.892990,0
0.223925,-1.816464,212602853.075604,-1649373378.834532,0
0.231155,-1.874434,212819873.343752,-1649346706.654852,0
0.238729,-1.935131,213043534.500281,-1649319187.971374,0
0.246669,-1.998725,213274136.139211,-1649290783.116046,0
0.254998,-2.065398,213511995.706528,-1649261449.961189,0
0.263741,-2.135348,213757449.823450,-1649231143.729413,0
0.272927,-2.208787,214010855.727167,-1649199816.785893,0
0.282583,-2.285945,214272592.841242,-1649167418.411114,0
0.292743,-2.367070,214543064.489289,-1649133894.551908,0
0.303441,-2.452433,214822699.767172,-1649099187.548381,0
0.314714,-2.542324,215111955.590844,-1649063235.833980,0
0.326604,-2.637062,215411318.939058,-1649025973.605632,0
0.339154,-2.736991,215721309.312580,-1648987330.460432,0
0.352414,-2.842487,216042481.434295,-1648947230.994945,0
0.366435,-2.953957,216375428.217753,-1648905594.362586,0
0.381278,-3.071850,216720784.035275,-1648862333.783982,0
0.397003,-3.196652,217079228.320914,-1648817356.004436,0
0.413681,-3.328898,217451489.548283,-1648770560.691836,0
0.431389,-3.469173,217838349.628788,-1648721839.767336,0
0.450209,-3.618120,218240648.782079,-1648671076.660041,0
0.470234,-3.776445,218659290.937902,-1648618145.475579,0
0.491565,-3.944926,219095249.736984,-1648562910.066927,0
0.514316,-4.124422,219549575.208463,-1648505222.994031,0
0.538611,-4.315880,220023401.212870,-1648444924.356639,0
0.564587,-4.520352,220517953.753037,-1648381840.482261,0
0.592398,-4.739001,221034560.271045,-1648315782.448181,0
0.622216,-4.973122,221574660.067665,-1648246544.412971,0
0.654230,-5.224154,222139816.002443,-1648173901.728712,0
0.688654,-5.493706,222731727.658027,-1648097608.800191,0
0.725727,-5.783574,223352246.182533,-1648017396.651326,0
0.765716,-6.095772,224003391.059477,-1647932970.151910,0
0.808925,-6.432562,224687369.097283,-1647844004.849130,0
0.855695,-6.796490,225406595.981079,-1647750143.337828,0
0.906410,-7.190429,226163720.790052,-1647650991.090810,0
0.961511,-7.617629,226961653.956374,-1647546111.655056,0
1.021494,-8.081780,227803599.229189,-1647435021.100739,0
1.086930,-8.587075,228693090.312851,-1647317181.586812,0
1.158469,-9.138304,229634032.976648,-1647191993.878225,0
1.236861,-9.740941,230630753.589039,-1647058788.614438,0
1.322967,-10.401277,231688055.219538,-1646916816.084717,0
1.417786,-11.126553,232811282.684425,-1646765234.210588,0
1.522474,-11.925138,234006398.199107,-1646603094.366445,0
