SunX,SunY,PlanetX,PlanetY
143305.652983,-227255.540543,15125206270.420082,-7580657564.526234
144000.196568,-228242.751759,15186651300.867489,-7607062805.403134
144695.002500,-229230.094384,15248104554.625502,-7633472165.253756
145390.068757,-230217.567329,15309565968.354044,-7659885610.011810
146085.393342,-231205.169523,15371035479.431992,-7686303106.025683
146780.974281,-232192.899903,15432513025.946461,-7712724620.051806
147476.809618,-233180.757422,15493998546.682289,-7739150119.248164
148172.897425,-234168.741046,15555491981.111706,-7765579571.167934
148869.235791,-235156.849750,15616993269.384199,-7792012943.753238
149565.822829,-236145.082526,15678502352.316559,-7818450205.329024
150262.656670,-237133.438374,15740019171.383104,-7844891324.597068
150959.735470,-238121.916307,15801543668.706087,-7871336270.630084
151657.057401,-239110.515351,15863075787.046267,-7897785012.865956
152354.620657,-240099.234541,15924615469.793657,-7924237521.102075
153052.423453,-241088.072927,15986162660.958439,-7950693765.489783
153750.464022,-242077.029566,16047717305.162027,-7977153716.528933
154448.740615,-243066.103528,16109279347.628305,-8003617345.062537
155147.251506,-244055.293894,16170848734.175011,-8030084622.271531
155845.994982,-245044.599755,16232425411.205271,-8056555519.669624
156544.969355,-246034.020213,16294009325.699297,-8083030009.098255
157244.172949,-247023.554380,16355600425.206209,-8109508062.721639
157943.604109,-248013.201377,16417198657.836014,-8135989653.021904
158643.261198,-249002.960337,16478803972.251720,-8162474752.794326
159343.142595,-249992.830402,16540416317.661591,-8188963335.142641
160043.246698,-250982.810724,16602035643.811525,-8215455373.474454
160743.571919,-251972.900463,16663661900.977581,-8241950841.496724
161444.116689,-252963.098790,16725295039.958616,-8268449713.211341
162144.879454,-253953.404885,16786935012.069061,-8294951962.910771
162845.858679,-254943.817937,16848581769.131815,-8321457565.173794
163547.052842,-255934.337144,16910235263.471258,-8347966494.861308
164248.460437,-256924.961713,16971895447.906389,-8374478727.112219
164950.079975,-257915.690859,17033562275.744072,-8400994237.339393
165651.909982,-258906.523807,17095235700.772406,-8427513001.225692
166353.948998,-259897.459789,17156915677.254190,-8454034994.720075
167056.195580,-260888.498046,17218602159.920521,-8480560194.033769
167758.648297,-261879.637828,17280295103.964478,-8507088575.636509
168461.305736,-262870.878392,17341994465.034912,-8533620116.252846
169164.166495,-263862.219004,17403700199.230362,-8560154792.858514
169867.229188,-264853.658936,17465412263.093040,-8586692582.676868
170570.492442,-265845.197471,17527130613.602940,-8613233463.175385
171273.954900,-266836.833896,17588855208.172024,-8639777412.062214
171977.615215,-267828.567509,17650586004.638527,-8666324407.282805
172681.472056,-268820.397612,17712322961.261330,-8692874427.016579
173385.524105,-269812.323518,17774066036.714443,-8719427449.673664
174089.770056,-270804.344545,17835815190.081566,-8745983453.891691
174794.208617,-271796.460018,17897570380.850742,-8772542418.532635
175498.838508,-272788.669270,17959331568.909100,-8799104322.679716
176203.658462,-273780.971641,18021098714.537674,-8825669145.634354
176908.667225,-274773.366477,18082871778.406315,-8852236866.913174
177613.863553,-275765.853132,18144650721.568680,-8878807466.245060
178319.246217,-276758.430965,18206435505.457298,-8905380923.568264
179024.813998,-277751.099343,18268226091.878716,-8931957219.027556
179730.565689,-278743.857640,18330022443.008720,-8958536332.971426
180436.500095,-279736.705234,18391824521.387642,-8985118245.949341
181142.616032,-280729.641511,18453632289.915726,-9011702938.709028
181848.912329,-281722.665864,18515445711.848572,-9038290392.193823
182555.387825,-282715.777690,18577264750.792660,-9064880587.540051
183262.041368,-283708.976394,18639089370.700932,-9091473506.074455
183968.871821,-284702.261386,18700919535.868446,-9118069129.311665
184675.878054,-285695.632083,18762755210.928104,-9144667438.951708
185383.058951,-286689.087906,18824596360.846436,-9171268416.877560
186090.413404,-287682.628282,18886442950.919453,-9197872045.152741
186797.940316,-288676.252647,18948294946.768566,-9224478306.018940
187505.638600,-289669.960438,19010152314.336571,-9251087181.893694
188213.507182,-290663.751100,19072015019.883678,-9277698655.368086
188921.544993,-291657.624083,19133883029.983631,-9304312709.204491
189629.750977,-292651.578843,19195756311.519848,-9330929326.334362
190338.124089,-293645.614841,19257634831.681656,-9357548489.856039
191046.663289,-294639.731542,19319518557.960556,-9384170183.032604
191755.367552,-295633.928418,19381407458.146568,-9410794389.289766
192464.235859,-296628.204944,19443301500.324604,-9437421092.213778
193173.267201,-297622.560604,19505200652.870918,-9464050275.549385
193882.460578,-298616.994882,19567104884.449604,-9490681923.197819
194591.814999,-299611.507271,19629014164.009129,-9517316019.214804
195301.329483,-300606.097266,19690928460.778942,-9543952547.808605
196011.003058,-301600.764368,19752847744.266121,-9570591493.338110
196720.834759,-302595.508084,19814771984.252068,-9597232840.310932
